Data;Número;Histórico;Débito;Crédito
15/03/2019;916;COMPRA DE MERCADORIA CONF. NF.  137239 FOR. TRES CORACOES ALIMENTOS  SA ;;1.179,70
27/03/2019;916;COMPRA DE MERCADORIA CONF. NF.  138735 FOR. TRES CORACOES ALIMENTOS  SA ;;8.092,00
02/04/2019;916;COMPRA DE MERCADORIA CONF. NF.  139916 FOR. TRES CORACOES ALIMENTOS  SA ;;7.331,70
24/04/2019;916;COMPRA DE MERCADORIA CONF. NF.  142184 FOR. TRES CORACOES ALIMENTOS  SA ;;3.900,00
24/04/2019;916;COMPRA DE MERCADORIA CONF. NF.  142572 FOR. TRES CORACOES ALIMENTOS  SA ;;6.055,89
30/04/2019;916;COMPRA DE MERCADORIA CONF. NF.  142948 FOR. TRES CORACOES ALIMENTOS  SA ;;14.600,00
30/04/2019;916;COMPRA DE MERCADORIA CONF. NF.  143362 FOR. TRES CORACOES ALIMENTOS  SA ;;314,00
10/05/2019;916;COMPRA DE MERCADORIA CONF. NF.  144038 FOR. TRES CORACOES ALIMENTOS  SA ;;544,44
22/05/2019;916;COMPRA DE MERCADORIA CONF. NF.  145629 FOR. TRES CORACOES ALIMENTOS  SA ;;3.780,00
30/05/2019;916;COMPRA DE MERCADORIA CONF. NF.  146595 FOR. TRES CORACOES ALIMENTOS  SA ;;1.989,72
04/06/2019;916;COMPRA DE MERCADORIA CONF. NF.  147735 FOR. TRES CORACOES ALIMENTOS  SA ;;8.100,00
20/06/2019;916;COMPRA DE MERCADORIA CONF. NF.  149162 FOR. TRES CORACOES ALIMENTOS  SA ;;5.559,31
26/06/2019;916;COMPRA DE MERCADORIA CONF. NF.  150001 FOR. TRES CORACOES ALIMENTOS  SA ;;1.099,00
26/06/2019;916;COMPRA DE MERCADORIA CONF. NF.  150002 FOR. TRES CORACOES ALIMENTOS  SA ;;7.000,00
09/07/2019;916;COMPRA DE MERCADORIA CONF. NF.  151530 FOR. TRES CORACOES ALIMENTOS  SA ;;3.960,00
18/07/2019;916;COMPRA DE MERCADORIA CONF. NF.  152368 FOR. TRES CORACOES ALIMENTOS  SA ;;10.482,16
24/07/2019;916;COMPRA DE MERCADORIA CONF. NF.  153246 FOR. TRES CORACOES ALIMENTOS  SA ;;235,50
24/07/2019;916;COMPRA DE MERCADORIA CONF. NF.  153251 FOR. TRES CORACOES ALIMENTOS  SA ;;1.468,20
31/07/2019;916;COMPRA DE MERCADORIA CONF. NF.  154036 FOR. TRES CORACOES ALIMENTOS  SA ;;235,50
08/08/2019;916;COMPRA DE MERCADORIA CONF. NF.  155176 FOR. TRES CORACOES ALIMENTOS  SA ;;8.161,50
30/08/2019;916;COMPRA DE MERCADORIA CONF. NF.  157448 FOR. TRES CORACOES ALIMENTOS  SA ;;4.200,00
30/08/2019;916;COMPRA DE MERCADORIA CONF. NF.  157459 FOR. TRES CORACOES ALIMENTOS  SA ;;1.726,13
10/09/2019;916;COMPRA DE MERCADORIA CONF. NF.  159158 FOR. TRES CORACOES ALIMENTOS  SA ;;3.500,00
19/09/2019;916;COMPRA DE MERCADORIA CONF. NF.  160402 FOR. TRES CORACOES ALIMENTOS  SA ;;795,00
19/09/2019;916;COMPRA DE MERCADORIA CONF. NF.  160403 FOR. TRES CORACOES ALIMENTOS  SA ;;3.450,00
26/09/2019;916;COMPRA DE MERCADORIA CONF. NF.  161187 FOR. TRES CORACOES ALIMENTOS  SA ;;4.514,62
03/10/2018;917;COMPRA DE MERCADORIA CONF. NF.  175977 FOR. TMC DIST. E ATAC. ALIM.  LTDA ;;351,60
13/10/2018;917;COMPRA DE MERCADORIA CONF. NF.  176703 FOR. TMC DIST. E ATAC. ALIM.  LTDA ;;3.835,00
20/10/2018;917;COMPRA DE MERCADORIA CONF. NF.  177639 FOR. TMC DIST. E ATAC. ALIM.  LTDA ;;1.889,30
10/11/2018;917;COMPRA DE MERCADORIA CONF. NF.  179177 FOR. TMC DIST. E ATAC. ALIM.  LTDA ;;1.917,55
27/11/2018;917;COMPRA DE MERCADORIA CONF. NF.  180655 FOR. TMC DIST. E ATAC. ALIM.  LTDA ;;3.559,10
12/12/2018;917;COMPRA DE MERCADORIA CONF. NF.  182605 FOR. TMC DIST. E ATAC. ALIM.  LTDA ;;894,40
14/12/2018;917;COMPRA DE MERCADORIA CONF. NF.  182880 FOR. TMC DIST. E ATAC. ALIM.  LTDA ;;1.222,80
20/12/2018;917;COMPRA DE MERCADORIA CONF. NF.  183462 FOR. TMC DIST. E ATAC. ALIM.  LTDA ;;3.560,40
16/01/2019;917;COMPRA DE MERCADORIA CONF. NF.  186011 FOR. TMC DIST. E ATAC. ALIM.  LTDA ;;746,10
23/01/2019;917;COMPRA DE MERCADORIA CONF. NF.  186740 FOR. TMC DIST. E ATAC. ALIM.  LTDA ;;994,80
07/02/2019;917;COMPRA DE MERCADORIA CONF. NF.  188226 FOR. TMC DIST. E ATAC. ALIM.  LTDA ;;1.501,30
21/02/2019;917;COMPRA DE MERCADORIA CONF. NF.  190380 FOR. TMC DIST. E ATAC. ALIM.  LTDA ;;2.269,36
08/03/2019;917;COMPRA DE MERCADORIA CONF. NF.  191684 FOR. TMC DIST. E ATAC. ALIM.  LTDA ;;1.930,30
