Data;Histórico;Débito;Crédito;Histórico separado
12/03/2019;COMPRA DE MERCADORIA CONF. NF.  52915 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;5975.0;52915
19/03/2019;COMPRA DE MERCADORIA CONF. NF.  52996 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;6220.0;52996
26/03/2019;COMPRA DE MERCADORIA CONF. NF.  53074 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;5150.0;53074
03/04/2019;COMPRA DE MERCADORIA CONF. NF.  53155 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;7725.0;53155
09/04/2019;COMPRA DE MERCADORIA CONF. NF.  53209 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;5640.0;53209
16/04/2019;COMPRA DE MERCADORIA CONF. NF.  53269 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;7650.01;53269
23/04/2019;COMPRA DE MERCADORIA CONF. NF.  53337 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;4950.0;53337
30/04/2019;COMPRA DE MERCADORIA CONF. NF.  53394 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;5750.0;53394
02/05/2019;COMPRA DE MERCADORIA CONF. NF.  53402 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;1600.0;53402
08/05/2019;COMPRA DE MERCADORIA CONF. NF.  53519 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;5400.0;53519
14/05/2019;COMPRA DE MERCADORIA CONF. NF.  53608 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;4605.0;53608
21/05/2019;COMPRA DE MERCADORIA CONF. NF.  53694 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;5770.0;53694
28/05/2019;COMPRA DE MERCADORIA CONF. NF.  53800 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;4440.0;53800
04/06/2019;COMPRA DE MERCADORIA CONF. NF.  53901 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;6170.0;53901
